title,score,vote,category,country,year,box_office,link
功夫熊猫2,8.1,477457.0,动作|动画|喜剧,美国,2011,6.108,https://movie.douban.com/subject/3233635/
金陵十三钗,8.3,764955.0,其它|剧情|动作,中国大陆,2011,5.923,https://movie.douban.com/subject/3649049/
龙门飞甲,6.9,324391.0,其它|剧情|动作,中国大陆,2011,5.4055,https://movie.douban.com/subject/4896304/
加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides,7.9,395426.0,动作,美国,2011,4.6335,https://movie.douban.com/subject/3227410/
阿凡达 Avatar,8.8,1539713.0,动作,美国,2010,13.5,https://movie.douban.com/subject/1652587/
让子弹飞,9.0,1875122.0,剧情|动作|喜剧,中国大陆,2010,6.647,https://movie.douban.com/subject/3742360/
唐山大地震,7.9,484898.0,其它|剧情|动作,中国大陆,2010,6.4775,https://movie.douban.com/subject/3596502/
非诚勿扰2,6.6,344262.0,其它|喜剧,中国大陆,2010,4.735,https://movie.douban.com/subject/4271894/
盗梦空间 Inception,9.4,2266155.0,剧情|动作|悬疑,美国,2010,4.5714,https://movie.douban.com/subject/3541415/
2012,8.0,613562.0,动作,美国,2009,4.66,https://movie.douban.com/subject/3005875/
变形金刚2 Transformers: Revenge of the Fallen,7.8,393195.0,动作,美国,2009,4.23,https://movie.douban.com/subject/2146991/
建国大业,7.0,395012.0,其它|剧情,中国大陆,2009,4.19,https://movie.douban.com/subject/3543690/
十月围城,7.7,331778.0,其它|剧情|动作,中国香港,2009,2.93,https://movie.douban.com/subject/3626416/
三枪拍案惊奇,4.8,127128.0,其它|喜剧|悬疑,中国大陆,2009,2.61,https://movie.douban.com/subject/3718447/
